region,renewresource,sub.renewable.resource,year,maxSubResource
EU-15,ArcticIsl_water withdrawals,runoff,2020,764.1724317158316
EU-15,ArcticIsl_water withdrawals,runoff,2025,738.1692271423992
EU-15,ArcticIsl_water withdrawals,runoff,2030,755.6501081106843
EU-15,ArcticIsl_water withdrawals,runoff,2035,781.976295985615
EU-15,ArcticIsl_water withdrawals,runoff,2040,936.1767123220985
EU-15,ArcticIsl_water withdrawals,runoff,2045,829.8667654114346
EU-15,ArcticIsl_water withdrawals,runoff,2050,900.6490575151611
EU-15,ArcticIsl_water withdrawals,runoff,2055,831.6292726389435
EU-15,ArcticIsl_water withdrawals,runoff,2060,969.271189925065
EU-15,ArcticIsl_water withdrawals,runoff,2065,880.2928789227788
EU-15,ArcticIsl_water withdrawals,runoff,2070,813.7033368409321
EU-15,ArcticIsl_water withdrawals,runoff,2075,982.490432732246
EU-15,ArcticIsl_water withdrawals,runoff,2080,946.645768164088
EU-15,ArcticIsl_water withdrawals,runoff,2085,997.6866676854643
EU-15,ArcticIsl_water withdrawals,runoff,2090,1128.485262701984
EU-15,ArcticIsl_water withdrawals,runoff,2095,1150.0394443211615
EU-15,ArcticIsl_water withdrawals,runoff,2100,1041.2386672177047
Canada,NWTerr_water withdrawals,runoff,2020,517.3348551593509
Canada,NWTerr_water withdrawals,runoff,2025,663.228822154968
Canada,NWTerr_water withdrawals,runoff,2030,605.7368582463112
Canada,NWTerr_water withdrawals,runoff,2035,618.2133857750271
Canada,NWTerr_water withdrawals,runoff,2040,651.016544538305
Canada,NWTerr_water withdrawals,runoff,2045,535.3836904463523
Canada,NWTerr_water withdrawals,runoff,2050,583.2697537195841
Canada,NWTerr_water withdrawals,runoff,2055,522.1518695585628
Canada,NWTerr_water withdrawals,runoff,2060,644.4572019923645
Canada,NWTerr_water withdrawals,runoff,2065,711.353170979185
Canada,NWTerr_water withdrawals,runoff,2070,668.0139099484737
Canada,NWTerr_water withdrawals,runoff,2075,641.5466001707484
Canada,NWTerr_water withdrawals,runoff,2080,643.291482678829
Canada,NWTerr_water withdrawals,runoff,2085,735.3125948233032
Canada,NWTerr_water withdrawals,runoff,2090,752.0893891773225
Canada,NWTerr_water withdrawals,runoff,2095,704.3827713573762
Canada,NWTerr_water withdrawals,runoff,2100,726.7617237608392
Russia,SiberiaN_water withdrawals,runoff,2020,283.7899359396632
Russia,SiberiaN_water withdrawals,runoff,2025,303.78657615923424
Russia,SiberiaN_water withdrawals,runoff,2030,235.68881736671565
Russia,SiberiaN_water withdrawals,runoff,2035,290.66243731344775
Russia,SiberiaN_water withdrawals,runoff,2040,273.3330424305345
Russia,SiberiaN_water withdrawals,runoff,2045,293.0616915627846
Russia,SiberiaN_water withdrawals,runoff,2050,287.6442285955294
Russia,SiberiaN_water withdrawals,runoff,2055,339.23614673551145
Russia,SiberiaN_water withdrawals,runoff,2060,326.9283079493894
Russia,SiberiaN_water withdrawals,runoff,2065,307.53127174042527
Russia,SiberiaN_water withdrawals,runoff,2070,309.5792167640578
Russia,SiberiaN_water withdrawals,runoff,2075,346.6028767779477
Russia,SiberiaN_water withdrawals,runoff,2080,321.7140690837414
Russia,SiberiaN_water withdrawals,runoff,2085,398.2627561262117
Russia,SiberiaN_water withdrawals,runoff,2090,370.4687660881484
Russia,SiberiaN_water withdrawals,runoff,2095,345.8948531473241
Russia,SiberiaN_water withdrawals,runoff,2100,353.2442169158004
Russia,SiberiaW_water withdrawals,runoff,2020,993.2855818083563
Russia,SiberiaW_water withdrawals,runoff,2025,911.9437903142007
Russia,SiberiaW_water withdrawals,runoff,2030,952.13503799354
Russia,SiberiaW_water withdrawals,runoff,2035,1021.2655853273802
Russia,SiberiaW_water withdrawals,runoff,2040,1025.9986259452155
Russia,SiberiaW_water withdrawals,runoff,2045,1024.7219273009646
Russia,SiberiaW_water withdrawals,runoff,2050,1062.179970020606
Russia,SiberiaW_water withdrawals,runoff,2055,1055.652645929224
Russia,SiberiaW_water withdrawals,runoff,2060,1022.8753610422289
Russia,SiberiaW_water withdrawals,runoff,2065,943.5082724175093
