region,renewresource,sub.renewable.resource,year,maxSubResource
EU-15,ArcticIsl_water withdrawals,runoff,2020,760.1458268177241
EU-15,ArcticIsl_water withdrawals,runoff,2025,709.5849465860922
EU-15,ArcticIsl_water withdrawals,runoff,2030,781.2504568443089
EU-15,ArcticIsl_water withdrawals,runoff,2035,740.1755652023874
EU-15,ArcticIsl_water withdrawals,runoff,2040,961.3598818432725
EU-15,ArcticIsl_water withdrawals,runoff,2045,821.1721505013371
EU-15,ArcticIsl_water withdrawals,runoff,2050,925.3160801052596
EU-15,ArcticIsl_water withdrawals,runoff,2055,911.246849355108
EU-15,ArcticIsl_water withdrawals,runoff,2060,1004.529014320084
EU-15,ArcticIsl_water withdrawals,runoff,2065,832.4226558651123
EU-15,ArcticIsl_water withdrawals,runoff,2070,894.4253792151055
EU-15,ArcticIsl_water withdrawals,runoff,2075,1079.1832770925123
EU-15,ArcticIsl_water withdrawals,runoff,2080,920.2754642797256
EU-15,ArcticIsl_water withdrawals,runoff,2085,1093.698381778779
EU-15,ArcticIsl_water withdrawals,runoff,2090,1137.110624953698
EU-15,ArcticIsl_water withdrawals,runoff,2095,1130.0160152181825
EU-15,ArcticIsl_water withdrawals,runoff,2100,1045.1138896414427
Canada,NWTerr_water withdrawals,runoff,2020,576.5011709980265
Canada,NWTerr_water withdrawals,runoff,2025,629.0616815224131
Canada,NWTerr_water withdrawals,runoff,2030,543.2776048648286
Canada,NWTerr_water withdrawals,runoff,2035,640.5897693851651
Canada,NWTerr_water withdrawals,runoff,2040,677.5005223643335
Canada,NWTerr_water withdrawals,runoff,2045,531.0372883154621
Canada,NWTerr_water withdrawals,runoff,2050,634.7561372198973
Canada,NWTerr_water withdrawals,runoff,2055,606.9338696056276
Canada,NWTerr_water withdrawals,runoff,2060,596.0929597065417
Canada,NWTerr_water withdrawals,runoff,2065,633.1118765141988
Canada,NWTerr_water withdrawals,runoff,2070,582.8737721322896
Canada,NWTerr_water withdrawals,runoff,2075,635.7169094666355
Canada,NWTerr_water withdrawals,runoff,2080,675.8331987865008
Canada,NWTerr_water withdrawals,runoff,2085,694.9191908419563
Canada,NWTerr_water withdrawals,runoff,2090,683.5162463780812
Canada,NWTerr_water withdrawals,runoff,2095,707.3756604544951
Canada,NWTerr_water withdrawals,runoff,2100,771.9717791481772
Russia,SiberiaN_water withdrawals,runoff,2020,286.89161335553445
Russia,SiberiaN_water withdrawals,runoff,2025,303.1967285100723
Russia,SiberiaN_water withdrawals,runoff,2030,244.29679303102597
Russia,SiberiaN_water withdrawals,runoff,2035,282.3174768212881
Russia,SiberiaN_water withdrawals,runoff,2040,265.77778858312087
Russia,SiberiaN_water withdrawals,runoff,2045,288.31937516699077
Russia,SiberiaN_water withdrawals,runoff,2050,269.1846253792221
Russia,SiberiaN_water withdrawals,runoff,2055,312.73549725558075
Russia,SiberiaN_water withdrawals,runoff,2060,339.26317912164797
Russia,SiberiaN_water withdrawals,runoff,2065,307.090376361675
Russia,SiberiaN_water withdrawals,runoff,2070,330.9730841160123
Russia,SiberiaN_water withdrawals,runoff,2075,331.30834877292784
Russia,SiberiaN_water withdrawals,runoff,2080,340.23970403188673
Russia,SiberiaN_water withdrawals,runoff,2085,393.7354597094512
Russia,SiberiaN_water withdrawals,runoff,2090,367.2557451368921
Russia,SiberiaN_water withdrawals,runoff,2095,303.247240016284
Russia,SiberiaN_water withdrawals,runoff,2100,348.19118387095307
Russia,SiberiaW_water withdrawals,runoff,2020,1025.8864046333208
Russia,SiberiaW_water withdrawals,runoff,2025,943.0227244108826
Russia,SiberiaW_water withdrawals,runoff,2030,993.0447308865529
Russia,SiberiaW_water withdrawals,runoff,2035,1024.966368348974
Russia,SiberiaW_water withdrawals,runoff,2040,991.4745209476105
Russia,SiberiaW_water withdrawals,runoff,2045,1013.9963224476418
Russia,SiberiaW_water withdrawals,runoff,2050,1036.752084100667
Russia,SiberiaW_water withdrawals,runoff,2055,1038.4814711654126
Russia,SiberiaW_water withdrawals,runoff,2060,1007.2368845730629
Russia,SiberiaW_water withdrawals,runoff,2065,938.7347682205631
Russia,SiberiaW_water withdrawals,runoff,2070,1066.6125199914734
Russia,SiberiaW_water withdrawals,runoff,2075,1098.5172664465222
Russia,SiberiaW_water withdrawals,runoff,2080,1081.0573953851526
Russia,SiberiaW_water withdrawals,runoff,2085,1107.2515581088262
Russia,SiberiaW_water withdrawals,runoff,2090,1065.5871885701151
Russia,SiberiaW_water withdrawals,runoff,2095,1104.936371962795
Russia,SiberiaW_water withdrawals,runoff,2100,1138.5376733256921
Russia,KaraSea_water withdrawals,runoff,2020,207.4033996253107
Russia,KaraSea_water withdrawals,runoff,2025,217.29406195911633
Russia,KaraSea_water withdrawals,runoff,2030,195.27222183319566
Russia,KaraSea_water withdrawals,runoff,2035,210.6707770577744
Russia,KaraSea_water withdrawals,runoff,2040,206.15029453415582
Russia,KaraSea_water withdrawals,runoff,2045,222.10070380045804
Russia,KaraSea_water withdrawals,runoff,2050,240.86668816091043
Russia,KaraSea_water withdrawals,runoff,2055,231.22421578873414
Russia,KaraSea_water withdrawals,runoff,2060,227.37766915065464
Russia,KaraSea_water withdrawals,runoff,2065,198.26606967173112
Russia,KaraSea_water withdrawals,runoff,2070,250.2732408580952
Russia,KaraSea_water withdrawals,runoff,2075,235.49130650635271
Russia,KaraSea_water withdrawals,runoff,2080,231.0112592104932
Russia,KaraSea_water withdrawals,runoff,2085,270.4349583348626
Russia,KaraSea_water withdrawals,runoff,2090,229.30200532418536
Russia,KaraSea_water withdrawals,runoff,2095,241.87958807540744
Russia,KaraSea_water withdrawals,runoff,2100,219.1647309836374
Russia,LenaR_water withdrawals,runoff,2020,507.77059788080743
Russia,LenaR_water withdrawals,runoff,2025,505.73779036675325
Russia,LenaR_water withdrawals,runoff,2030,493.7065016976717
Russia,LenaR_water withdrawals,runoff,2035,450.88718728428694
Russia,LenaR_water withdrawals,runoff,2040,463.7616649010565
Russia,LenaR_water withdrawals,runoff,2045,472.6368899241097
Russia,LenaR_water withdrawals,runoff,2050,505.5302227807997
Russia,LenaR_water withdrawals,runoff,2055,525.6701096338614
Russia,LenaR_water withdrawals,runoff,2060,474.29034711305195
Russia,LenaR_water withdrawals,runoff,2065,450.4474648453429
Russia,LenaR_water withdrawals,runoff,2070,523.0389971746309
Russia,LenaR_water withdrawals,runoff,2075,516.9691455948116
Russia,LenaR_water withdrawals,runoff,2080,472.81548853557854
Russia,LenaR_water withdrawals,runoff,2085,537.3588201839398
Russia,LenaR_water withdrawals,runoff,2090,534.6355637665041
Russia,LenaR_water withdrawals,runoff,2095,551.3672538758602
Russia,LenaR_water withdrawals,runoff,2100,522.1873306691913
USA,PacArctic_water withdrawals,runoff,2020,1448.906596770497
USA,PacArctic_water withdrawals,runoff,2025,1567.1579887225848
USA,PacArctic_water withdrawals,runoff,2030,1593.5980028427618
USA,PacArctic_water withdrawals,runoff,2035,1633.8100433905224
USA,PacArctic_water withdrawals,runoff,2040,1635.932187399417
USA,PacArctic_water withdrawals,runoff,2045,1605.968336684382
USA,PacArctic_water withdrawals,runoff,2050,1619.028081940566
USA,PacArctic_water withdrawals,runoff,2055,1669.9085353708604
USA,PacArctic_water withdrawals,runoff,2060,1717.214427250486
USA,PacArctic_water withdrawals,runoff,2065,1686.4741252668723
USA,PacArctic_water withdrawals,runoff,2070,1692.8707623527075
USA,PacArctic_water withdrawals,runoff,2075,1512.3243715458607
USA,PacArctic_water withdrawals,runoff,2080,1669.9516189051876
USA,PacArctic_water withdrawals,runoff,2085,1751.3366364128046
USA,PacArctic_water withdrawals,runoff,2090,1692.1429354949391
USA,PacArctic_water withdrawals,runoff,2095,1656.902370732154
USA,PacArctic_water withdrawals,runoff,2100,1669.3152413444332
European Free Trade Association,ScndnvN_water withdrawals,runoff,2020,443.1609748495709
European Free Trade Association,ScndnvN_water withdrawals,runoff,2025,492.0200858861619
European Free Trade Association,ScndnvN_water withdrawals,runoff,2030,481.2818597931223
European Free Trade Association,ScndnvN_water withdrawals,runoff,2035,488.82349558904644
European Free Trade Association,ScndnvN_water withdrawals,runoff,2040,539.6978504963736
European Free Trade Association,ScndnvN_water withdrawals,runoff,2045,509.9432589767774
European Free Trade Association,ScndnvN_water withdrawals,runoff,2050,493.72185636359336
European Free Trade Association,ScndnvN_water withdrawals,runoff,2055,550.1897867876761
European Free Trade Association,ScndnvN_water withdrawals,runoff,2060,524.3052529641911
European Free Trade Association,ScndnvN_water withdrawals,runoff,2065,493.7952388363551
European Free Trade Association,ScndnvN_water withdrawals,runoff,2070,562.9813486327753
European Free Trade Association,ScndnvN_water withdrawals,runoff,2075,501.5494898065381
European Free Trade Association,ScndnvN_water withdrawals,runoff,2080,547.1557171007793
European Free Trade Association,ScndnvN_water withdrawals,runoff,2085,559.0107418540804
European Free Trade Association,ScndnvN_water withdrawals,runoff,2090,564.3069117810525
European Free Trade Association,ScndnvN_water withdrawals,runoff,2095,526.9855508920602
European Free Trade Association,ScndnvN_water withdrawals,runoff,2100,549.8125343934897
Russia,BarentsSea_water withdrawals,runoff,2020,260.4228785865921
Russia,BarentsSea_water withdrawals,runoff,2025,275.31469693423094
Russia,BarentsSea_water withdrawals,runoff,2030,266.00439209362185
Russia,BarentsSea_water withdrawals,runoff,2035,257.8882213156159
Russia,BarentsSea_water withdrawals,runoff,2040,276.6568176751289
Russia,BarentsSea_water withdrawals,runoff,2045,263.1428869408963
Russia,BarentsSea_water withdrawals,runoff,2050,273.3241958314958
Russia,BarentsSea_water withdrawals,runoff,2055,304.78184026480574
Russia,BarentsSea_water withdrawals,runoff,2060,276.5114303236225
Russia,BarentsSea_water withdrawals,runoff,2065,261.19676083302056
Russia,BarentsSea_water withdrawals,runoff,2070,264.9672373056311
Russia,BarentsSea_water withdrawals,runoff,2075,274.9440663964882
Russia,BarentsSea_water withdrawals,runoff,2080,278.94711158855523
Russia,BarentsSea_water withdrawals,runoff,2085,306.2480145128533
Russia,BarentsSea_water withdrawals,runoff,2090,303.3862773104809
Russia,BarentsSea_water withdrawals,runoff,2095,278.75762942401366
Russia,BarentsSea_water withdrawals,runoff,2100,292.92448673021613
Canada,Mackenzie_water withdrawals,runoff,2020,359.8705163016576
Canada,Mackenzie_water withdrawals,runoff,2025,362.7028230279128
Canada,Mackenzie_water withdrawals,runoff,2030,347.73577834405734
Canada,Mackenzie_water withdrawals,runoff,2035,356.6994121355146
Canada,Mackenzie_water withdrawals,runoff,2040,346.0672055689592
Canada,Mackenzie_water withdrawals,runoff,2045,369.19379639393316
Canada,Mackenzie_water withdrawals,runoff,2050,350.37966203399225
Canada,Mackenzie_water withdrawals,runoff,2055,329.66348802827065
Canada,Mackenzie_water withdrawals,runoff,2060,344.467202469604
Canada,Mackenzie_water withdrawals,runoff,2065,344.16518314167695
Canada,Mackenzie_water withdrawals,runoff,2070,361.0459784469566
Canada,Mackenzie_water withdrawals,runoff,2075,365.9612879219266
Canada,Mackenzie_water withdrawals,runoff,2080,380.52542682588046
Canada,Mackenzie_water withdrawals,runoff,2085,333.4330395281564
Canada,Mackenzie_water withdrawals,runoff,2090,354.6525661344774
Canada,Mackenzie_water withdrawals,runoff,2095,369.9746134123596
Canada,Mackenzie_water withdrawals,runoff,2100,348.23755670949606
European Free Trade Association,Iceland_water withdrawals,runoff,2020,215.16234562653648
European Free Trade Association,Iceland_water withdrawals,runoff,2025,172.1719154175386
European Free Trade Association,Iceland_water withdrawals,runoff,2030,173.46400474289194
European Free Trade Association,Iceland_water withdrawals,runoff,2035,165.52462597744523
European Free Trade Association,Iceland_water withdrawals,runoff,2040,164.15721414303096
European Free Trade Association,Iceland_water withdrawals,runoff,2045,178.5806226083428
European Free Trade Association,Iceland_water withdrawals,runoff,2050,175.49174557933696
European Free Trade Association,Iceland_water withdrawals,runoff,2055,172.84121740899997
European Free Trade Association,Iceland_water withdrawals,runoff,2060,177.8194387273407
European Free Trade Association,Iceland_water withdrawals,runoff,2065,170.36563782821722
European Free Trade Association,Iceland_water withdrawals,runoff,2070,164.12909499191596
