region,renewresource,sub.renewable.resource,year,maxSubResource
EU-15,ArcticIsl_water withdrawals,runoff,2020,736.4564770724502
EU-15,ArcticIsl_water withdrawals,runoff,2025,782.989477837498
EU-15,ArcticIsl_water withdrawals,runoff,2030,748.9238497249182
EU-15,ArcticIsl_water withdrawals,runoff,2035,796.7942443924169
EU-15,ArcticIsl_water withdrawals,runoff,2040,937.5865863583052
EU-15,ArcticIsl_water withdrawals,runoff,2045,837.5332216904173
EU-15,ArcticIsl_water withdrawals,runoff,2050,877.2303757461754
EU-15,ArcticIsl_water withdrawals,runoff,2055,835.6417354554953
EU-15,ArcticIsl_water withdrawals,runoff,2060,1076.8515639795503
EU-15,ArcticIsl_water withdrawals,runoff,2065,819.5135153466257
EU-15,ArcticIsl_water withdrawals,runoff,2070,744.5765705880018
EU-15,ArcticIsl_water withdrawals,runoff,2075,948.2875420506671
EU-15,ArcticIsl_water withdrawals,runoff,2080,991.5706026206411
EU-15,ArcticIsl_water withdrawals,runoff,2085,1091.4851286633077
EU-15,ArcticIsl_water withdrawals,runoff,2090,1122.702832454822
EU-15,ArcticIsl_water withdrawals,runoff,2095,1109.4798154234177
EU-15,ArcticIsl_water withdrawals,runoff,2100,1067.8236786530358
Canada,NWTerr_water withdrawals,runoff,2020,566.2873568458599
Canada,NWTerr_water withdrawals,runoff,2025,547.2356215349133
Canada,NWTerr_water withdrawals,runoff,2030,639.3138558316475
Canada,NWTerr_water withdrawals,runoff,2035,727.5757173209178
Canada,NWTerr_water withdrawals,runoff,2040,647.327856538786
Canada,NWTerr_water withdrawals,runoff,2045,607.3202989297633
Canada,NWTerr_water withdrawals,runoff,2050,691.7950860631258
Canada,NWTerr_water withdrawals,runoff,2055,677.1025764267216
Canada,NWTerr_water withdrawals,runoff,2060,583.9750960441697
Canada,NWTerr_water withdrawals,runoff,2065,613.5918064663393
Canada,NWTerr_water withdrawals,runoff,2070,627.4814649525337
Canada,NWTerr_water withdrawals,runoff,2075,630.0469339006104
Canada,NWTerr_water withdrawals,runoff,2080,669.3763757670471
Canada,NWTerr_water withdrawals,runoff,2085,774.2256237023636
Canada,NWTerr_water withdrawals,runoff,2090,687.8505370401111
Canada,NWTerr_water withdrawals,runoff,2095,747.0106047354536
Canada,NWTerr_water withdrawals,runoff,2100,740.7208953283236
Russia,SiberiaN_water withdrawals,runoff,2020,287.03609731985387
Russia,SiberiaN_water withdrawals,runoff,2025,303.77488860388905
Russia,SiberiaN_water withdrawals,runoff,2030,239.50954630261185
Russia,SiberiaN_water withdrawals,runoff,2035,291.6878036651112
Russia,SiberiaN_water withdrawals,runoff,2040,266.39247820336726
Russia,SiberiaN_water withdrawals,runoff,2045,303.75070166582725
Russia,SiberiaN_water withdrawals,runoff,2050,291.06552094178375
Russia,SiberiaN_water withdrawals,runoff,2055,329.0280011064863
Russia,SiberiaN_water withdrawals,runoff,2060,336.97545594559585
Russia,SiberiaN_water withdrawals,runoff,2065,301.54421865849787
Russia,SiberiaN_water withdrawals,runoff,2070,317.4003739099418
Russia,SiberiaN_water withdrawals,runoff,2075,345.1552532872909
Russia,SiberiaN_water withdrawals,runoff,2080,350.2754299197371
Russia,SiberiaN_water withdrawals,runoff,2085,379.861058730379
Russia,SiberiaN_water withdrawals,runoff,2090,357.0372357116788
Russia,SiberiaN_water withdrawals,runoff,2095,333.08834405518235
Russia,SiberiaN_water withdrawals,runoff,2100,348.9719394123255
Russia,SiberiaW_water withdrawals,runoff,2020,1004.909874216501
Russia,SiberiaW_water withdrawals,runoff,2025,921.3479261854014
Russia,SiberiaW_water withdrawals,runoff,2030,970.1124368928049
Russia,SiberiaW_water withdrawals,runoff,2035,1019.517392991942
Russia,SiberiaW_water withdrawals,runoff,2040,1044.8755138304907
Russia,SiberiaW_water withdrawals,runoff,2045,1085.468815953153
Russia,SiberiaW_water withdrawals,runoff,2050,989.9260439866924
Russia,SiberiaW_water withdrawals,runoff,2055,1021.4204645811644
Russia,SiberiaW_water withdrawals,runoff,2060,1025.6272275667266
Russia,SiberiaW_water withdrawals,runoff,2065,940.8926834478398
Russia,SiberiaW_water withdrawals,runoff,2070,1000.4764918689316
Russia,SiberiaW_water withdrawals,runoff,2075,1065.0833003932248
Russia,SiberiaW_water withdrawals,runoff,2080,1167.7791117868028
Russia,SiberiaW_water withdrawals,runoff,2085,1087.4537666021183
Russia,SiberiaW_water withdrawals,runoff,2090,1118.3305781609552
Russia,SiberiaW_water withdrawals,runoff,2095,1104.061001183711
Russia,SiberiaW_water withdrawals,runoff,2100,1109.2521497300158
Russia,KaraSea_water withdrawals,runoff,2020,206.550023598191
Russia,KaraSea_water withdrawals,runoff,2025,222.83699052029215
Russia,KaraSea_water withdrawals,runoff,2030,207.8600548333208
Russia,KaraSea_water withdrawals,runoff,2035,227.3161275347703
Russia,KaraSea_water withdrawals,runoff,2040,220.77248571332748
Russia,KaraSea_water withdrawals,runoff,2045,234.69064242578665
Russia,KaraSea_water withdrawals,runoff,2050,226.04034242128054
Russia,KaraSea_water withdrawals,runoff,2055,218.91873588907364
Russia,KaraSea_water withdrawals,runoff,2060,246.659055116766
Russia,KaraSea_water withdrawals,runoff,2065,216.1171328502681
Russia,KaraSea_water withdrawals,runoff,2070,250.7808547090862
Russia,KaraSea_water withdrawals,runoff,2075,220.1552180636455
Russia,KaraSea_water withdrawals,runoff,2080,234.55055888319393
Russia,KaraSea_water withdrawals,runoff,2085,260.31367252625415
Russia,KaraSea_water withdrawals,runoff,2090,205.37016724913178
Russia,KaraSea_water withdrawals,runoff,2095,241.43100971377197
Russia,KaraSea_water withdrawals,runoff,2100,231.54129896946137
Russia,LenaR_water withdrawals,runoff,2020,493.24159576054296
Russia,LenaR_water withdrawals,runoff,2025,501.05241647254013
Russia,LenaR_water withdrawals,runoff,2030,484.8628989189983
Russia,LenaR_water withdrawals,runoff,2035,474.57746740295914
Russia,LenaR_water withdrawals,runoff,2040,474.7077361786686
Russia,LenaR_water withdrawals,runoff,2045,487.20860116631576
Russia,LenaR_water withdrawals,runoff,2050,493.24054071146736
Russia,LenaR_water withdrawals,runoff,2055,508.33138671553024
Russia,LenaR_water withdrawals,runoff,2060,491.07550316758005
Russia,LenaR_water withdrawals,runoff,2065,466.1863833853772
Russia,LenaR_water withdrawals,runoff,2070,483.733892419899
Russia,LenaR_water withdrawals,runoff,2075,514.7379162101167
Russia,LenaR_water withdrawals,runoff,2080,492.18699334788636
Russia,LenaR_water withdrawals,runoff,2085,548.9835009270271
Russia,LenaR_water withdrawals,runoff,2090,534.2825212700891
Russia,LenaR_water withdrawals,runoff,2095,557.7690242659557
Russia,LenaR_water withdrawals,runoff,2100,528.7750132810157
USA,PacArctic_water withdrawals,runoff,2020,1459.5373808784311
USA,PacArctic_water withdrawals,runoff,2025,1533.92133144583
USA,PacArctic_water withdrawals,runoff,2030,1612.7522295310991
USA,PacArctic_water withdrawals,runoff,2035,1693.0745110833377
USA,PacArctic_water withdrawals,runoff,2040,1667.8540852596684
