region,renewresource,sub.renewable.resource,year,maxSubResource
EU-15,ArcticIsl_water withdrawals,runoff,2020,745.3152179641926
EU-15,ArcticIsl_water withdrawals,runoff,2025,761.1054277119296
EU-15,ArcticIsl_water withdrawals,runoff,2030,735.623718066543
EU-15,ArcticIsl_water withdrawals,runoff,2035,811.5634028559517
EU-15,ArcticIsl_water withdrawals,runoff,2040,948.5246154071486
EU-15,ArcticIsl_water withdrawals,runoff,2045,907.2673560392479
EU-15,ArcticIsl_water withdrawals,runoff,2050,912.0611054490219
EU-15,ArcticIsl_water withdrawals,runoff,2055,865.0612627304902
EU-15,ArcticIsl_water withdrawals,runoff,2060,934.1296493694756
EU-15,ArcticIsl_water withdrawals,runoff,2065,821.2183417860872
EU-15,ArcticIsl_water withdrawals,runoff,2070,847.2353532600577
EU-15,ArcticIsl_water withdrawals,runoff,2075,1020.3813305762511
EU-15,ArcticIsl_water withdrawals,runoff,2080,953.7343836298267
EU-15,ArcticIsl_water withdrawals,runoff,2085,1026.1119460097893
EU-15,ArcticIsl_water withdrawals,runoff,2090,1163.015903074093
EU-15,ArcticIsl_water withdrawals,runoff,2095,1134.3194020920205
EU-15,ArcticIsl_water withdrawals,runoff,2100,1143.8354401437018
Canada,NWTerr_water withdrawals,runoff,2020,570.1406177947255
Canada,NWTerr_water withdrawals,runoff,2025,633.8879009958772
Canada,NWTerr_water withdrawals,runoff,2030,587.8922234134882
Canada,NWTerr_water withdrawals,runoff,2035,552.980643190702
Canada,NWTerr_water withdrawals,runoff,2040,671.1183232111198
Canada,NWTerr_water withdrawals,runoff,2045,605.4035473077287
Canada,NWTerr_water withdrawals,runoff,2050,625.8080528990926
Canada,NWTerr_water withdrawals,runoff,2055,627.9762458352352
Canada,NWTerr_water withdrawals,runoff,2060,658.2993346711294
Canada,NWTerr_water withdrawals,runoff,2065,736.8041949896935
Canada,NWTerr_water withdrawals,runoff,2070,662.3250684511919
Canada,NWTerr_water withdrawals,runoff,2075,624.1244518359339
Canada,NWTerr_water withdrawals,runoff,2080,708.1111052790882
Canada,NWTerr_water withdrawals,runoff,2085,622.9593840148207
Canada,NWTerr_water withdrawals,runoff,2090,691.3492458234493
Canada,NWTerr_water withdrawals,runoff,2095,750.2691882878933
Canada,NWTerr_water withdrawals,runoff,2100,626.9284369139002
Russia,SiberiaN_water withdrawals,runoff,2020,281.222303620368
Russia,SiberiaN_water withdrawals,runoff,2025,301.10136494638584
Russia,SiberiaN_water withdrawals,runoff,2030,256.6755484016529
Russia,SiberiaN_water withdrawals,runoff,2035,282.9249902335597
Russia,SiberiaN_water withdrawals,runoff,2040,289.74837173224614
Russia,SiberiaN_water withdrawals,runoff,2045,274.5476037375787
Russia,SiberiaN_water withdrawals,runoff,2050,302.0251431117096
Russia,SiberiaN_water withdrawals,runoff,2055,330.83809443049097
Russia,SiberiaN_water withdrawals,runoff,2060,294.2515557527551
Russia,SiberiaN_water withdrawals,runoff,2065,312.520731286635
Russia,SiberiaN_water withdrawals,runoff,2070,327.39344940625085
Russia,SiberiaN_water withdrawals,runoff,2075,325.21585430288513
Russia,SiberiaN_water withdrawals,runoff,2080,347.82460266486174
Russia,SiberiaN_water withdrawals,runoff,2085,384.94484845620735
Russia,SiberiaN_water withdrawals,runoff,2090,365.752789115886
Russia,SiberiaN_water withdrawals,runoff,2095,315.91362172513254
Russia,SiberiaN_water withdrawals,runoff,2100,377.0958307808714
Russia,SiberiaW_water withdrawals,runoff,2020,1009.2264808417601
Russia,SiberiaW_water withdrawals,runoff,2025,923.9043982331261
Russia,SiberiaW_water withdrawals,runoff,2030,1017.3552282761345
Russia,SiberiaW_water withdrawals,runoff,2035,1018.01588911956
Russia,SiberiaW_water withdrawals,runoff,2040,1004.5027246307891
Russia,SiberiaW_water withdrawals,runoff,2045,1086.8790449685716
Russia,SiberiaW_water withdrawals,runoff,2050,968.424358771185
Russia,SiberiaW_water withdrawals,runoff,2055,1070.7227710036373
Russia,SiberiaW_water withdrawals,runoff,2060,996.0448229953578
Russia,SiberiaW_water withdrawals,runoff,2065,975.6388234715972
Russia,SiberiaW_water withdrawals,runoff,2070,1002.5474509292344
Russia,SiberiaW_water withdrawals,runoff,2075,1138.1565234154227
